"","dangshen","huangqi"
"HAMP",-3.06362407366667,-1.11929082966667
"MT1H",-1.26606559833333,1.617746779
"ID1",-1.41348261533333,-0.0170200636666671
"CYP1A1",1.21390286166667,1.09031901466666
"MT1F",-1.16551901666667,-1.17325199666667
"C20orf127",-1.04832863,-1.44195135933333
"HOXD1",-1.09257498466667,-1.26475943333333
"HEY1",-1.33231107466667,-1.62379430366667
"MT1G",-1.03232919333333,1.12607015966666
"CTGF",-1.03513468533334,1.31991972166667
"C20orf75",1.09744383266667,-1.05219589466667
"GCNT3",0.969292495999998,0.753176899333333
"MT1E",-0.926807406666667,-0.758971292666668
"ALDH3A1",1.03508361133333,-1.29775894733333
"ID3",-0.962231413666669,0.906913276666666
"AKR1B15",0.934276298333331,0.938384335333331
"GDF15",1.12842572933333,0.690140980666666
"PAQR8",-0.822679617333334,-0.534450798000001
"IGFBP1",1.099359893,-0.872230496333333
"HMOX1",1.12485328233333,1.198011161
"DAB2",0.883687826999998,-1.065174154
"CIDEC",0.841010469999998,-0.682660457333334
"SERPINE1",0.849922853999998,1.27409384566667
"HMGCS1",-0.873060967333335,-1.20418806766667
"MT1X",-0.851709360000001,0.321138766666665
"AKR1B10",0.766608689999998,-0.924132699666667
"SLC5A11",0.806132774666666,-0.339025981000002
"CACNA2D4",0.783244302999999,-0.665798518333334
"ID2",-0.785059165,-0.884905796000003
"FZD4",-0.766006693333332,-1.044340774
"TGM5",0.780764210333333,-1.00269912166667
"EMP3",0.894573293666665,-0.655605929333334
"MTE",-0.734266817000002,0.622576302999997
"CRIP2",-0.715496867,0.550989157333332
"SLC22A7",0.751245107666666,-1.00952349166667
"FNDC4",0.780798435666665,-0.340883764000002
"PCSK5",0.822340430333332,-0.75379601
"ZIC2",0.740155444999998,-0.199982556666669
"OSTbeta",-0.731362538333336,-0.621860291666668
"LOC55908",-0.710869532666668,1.023873535
"UNC93A",0.726149556666666,-0.804445509333335
"C3orf32",0.835931389333333,-0.533041649333334
"SCGN",0.769614735333332,0.886798053999998
"SDC4",0.846674286666665,-0.847563825333335
"CETN2",-0.709523616666669,0.138059369333333
"LOC730278",0.718886067333333,-0.499182369000001
"ACSL4",-0.770996613666668,-0.0945464596666675
"OKL38",0.704903338999998,-0.849076520000001
"S100A3",0.742163418666665,-0.946114735666668
"MAP2K2",0.81490015,0.281189393666666
"KRT24",0.666366296999999,-1.558654762
"VGF",0.735584355999999,-0.435015013000001
"DOK4",0.646556543999998,-1.485256561
"TIA1",-0.683343152333335,-0.724224787666668
"LRRN4",0.800497102666666,-0.840392011000002
"HBA1",0.641583063999998,-0.461215301666667
"TPRXL",0.660722063666665,0.954067044999999
"S100A6",0.702809047333333,-0.79712137666667
"ULK4",0.644229325666665,0.735911983333333
"KANK1",-0.649719184333334,-0.718315179666668
"HEPACAM",0.659945284333331,-0.591333200333335
"SLC2A1",0.649424020666664,0.736950608666665
"B3GNT3",0.611317275999999,0.704740259999999
"AKR1C4",0.695885309999999,1.143609021
"RASD1",0.634070802666666,2.300148016
"AK1",0.672263261333332,0.307017142999999
"SPP1",0.827872573333333,-0.949538080000001
"NR1H4",-0.814344659,-0.410289768
"LSS",-0.704510139333336,1.06620094666667
"GPAM",-0.722991821000001,0.354206393666667
"F2RL1",0.639453180999999,0.893189901999999
"IKBKG",0.641239112666665,0.298055994666665
"ENO3",-0.628249970666667,-0.510898513333337
"NKD1",-0.587574365666667,-0.539451120333335
"EFHD2",0.635997736666666,-0.406146323666668
"ESAM",0.589423648666666,0.461582940666664
"HKDC1",0.624922455999999,0.827669688999998
"HBA2",0.642868650666665,-0.138352576
"RHBDF2",0.682867630333332,-0.266478946333334
"GCLM",0.739499130999999,-0.544623377666667
"ABCC2",0.608622936999999,-0.657363542333334
"CDR2L",0.671860174333332,0.708997293666666
"ERBB3",-0.585482376000001,0.484039079333332
"FOXQ1",-0.615259133333335,0.418179575333332
"PANK1",-0.620682768333335,-0.551026345333335
"KISS1R",-0.680486415000001,0.648089097999998
